production_companies,budget
" ""Weathering With You"" Film Partners",0.0
 100 Bares,2000000.0
 120 Films,0.0
 13 Prods,0.0
 1492 Pictures,118333333.33333333
 2.0 Entertainment,60000000.0
 2.4.7. Films,7300000.0
 20th Century Fox,47321428.571428575
 20th Century Fox Brazil,0.0
 20th Century Fox Television,0.0
 21 Laps Entertainment,47000000.0
 2929 Productions,25000000.0
 2AM,12000000.0
 2DUX²,50000000.0
 3 Arts Entertainment,118666666.66666667
 3 Dogs & a Pony,25000000.0
 40 Acres and a Mule Filmworks,6500000.0
 5000 Broadway Productions,0.0
 5678 Productions,15000000.0
 81 Produce,0.0
 87Eleven,100000000.0
 8:38 Productions,46000000.0
 A Band Apart,32166666.666666668
 A Luta Continua,22500000.0
 A&M Films,1000000.0
 A.Gi.Di.,0.0
 A.M.A. Film,0.0
 ABC Animation,0.0
 AGBO,25000000.0
 AI Film,20000000.0
 AMUSE,0.0
 AOI Pro.,0.0
 ARD,0.0
 ARD Degeto,8300000.0
 ARTE,3625000.0
 ARTE France Cinéma,5191666.666666667
 ASCII Media Works,0.0
 ASR Productions,30000000.0
 AT-X,0.0
 AZ Films,0.0
 Absolute Entertainment,30000000.0
 Access Entertainment,70000000.0
 Act III Productions,11666666.666666666
 Ad Vitam Production,0.0
 Advantage Entertainment,30000000.0
 Aegis Film Fund,15000000.0
 Affirm Films,1750000.0
 Akira Kurosawa USA,12000000.0
 Alberta Film Entertainment,14000000.0
 Alcon Entertainment,5000000.0
 Alebrije Producciones,0.0
 Alfran Productions,6000000.0
 Alfred J. Hitchcock Productions,2479000.0
 Alibaba Pictures Group,4000000.0
 Alkay Animation Prague,0.0
 All About Media,0.0
 Allied Filmmakers,22000000.0
 Alpha Pictures,18300000.0
 Altavista Films,0.0
 Amazon MGM Studios,0.0
 Amazon Studios,0.0
 Amblin Entertainment,50166666.666666664
 Amblin Partners,2500000.0
 American Empirical Pictures,37192549.5
 American Zoetrope,5000000.0
 Amuse Soft Entertainment,0.0
 Amusement Park Films,5070773.0
 Anarchos Productions,54000000.0
 Ang Lee Productions,0.0
 Animal Kingdom,1000000.0
 Animate Film,0.0
 Aniplex,1962500.0
 Anonymous Content,20000000.0
 Antenne 2,0.0
 Antidote Films,3000000.0
 Appian Way,60000000.0
 Apple Studios,106666666.66666667
 Aquarius Films,12000000.0
 Arad Productions,95000000.0
 Arco Film,0.0
 Argent Pictures,40000000.0
 Argos films,2125000.0
 Argyle Enterprises,8200000.0
 Armada Productions,1200000.0
 Arnold Kopelson Productions,19500000.0
 Art Service,18300000.0
 Artemis Film,9000000.0
 Artisan Entertainment,17500000.0
 Artistic Films,50000000.0
 Arturo González PC,900000.0
 Artémis Productions,0.0
 Asahi Broadcasting Corporation,3000000.0
 Asymmetrical Productions,15000000.0
 Atlas Entertainment,85000000.0
 Atom Films,0.0
 Atresmedia,4000000.0
 Auvergne-Rhône-Alpes Cinéma,5950000.0
 Avery Pix,29000000.0
 Avnet/Kerner Productions,11000000.0
 Azure Centrum,110000000.0
 B&C CONTENT,6500000.0
 BA Entertainment,6200000.0
 BBC,210000.0
 BBC Bristol Productions,832000.0
 BBC Children's Productions,832000.0
 BBC Film,0.0
 BBC Lionheart Television,832000.0
 BFI,0.0
 BMG Funhouse,0.0
 BONES,0.0
 BR,3633333.3333333335
 BS11,0.0
 BUN-BUKU,0.0
 Babbo,15000000.0
 Bad Robot,0.0
 Baltimore Pictures,17000000.0
 Bam Film,1300000.0
 Bandai,2233333.3333333335
 Bandai Namco Arts,0.0
 Bandai Namco Entertainment,200000.0
 Bandai Spirits,0.0
 Bandai Visual,0.0
 Bandeira Entertainment,4500000.0
 Bandidos Films,0.0
 Banzakbanzak Film Production,0.0
 Baram Pictures,0.0
 Barrandov Studio,14000000.0
 Barry Mendel Productions,40000000.0
 Base Media,0.0
 Basic Pictures,6400000.0
 Bavaria Film,14000000.0
 Bay Films,75000000.0
 Be Gentlemen Limited Partnership,10000000.0
 BeTV,3000000.0
 Bedlam Productions,15000000.0
 Beijing Bu Yi Le Hu Film Company,0.0
 Beijing Coloroom Technology,80000000.0
 Beijing Enlight Media,80000000.0
 Beijing Enlight Pictures,80000000.0
 Beijing Guangying Gongchang Wenhua Chuanbo,0.0
 Beijing Jinyi Jiayi Film Distribution,11936735.0
 Beijing Jiyin Yinghua,0.0
 Beijing ShengShi HuaRei Film Investment & Management Co.,11700000.0
 Belga Productions,0.0
 Belgacom,0.0
 Berlanti Productions,0.0
 Best International Films,0.0
 Beta Film,0.0
 Bibury Animation Studios,0.0
 Bill Melendez Productions,96000.0
 Bill/Phillips,1900000.0
 Black Bear Pictures,14000000.0
 Blind Spot Pictures,12500000.0
 Bliss Media,40000000.0
 Blue Dahlia Productions,3000000.0
 Blue Parrot Productions,6000000.0
 Blue Ribbon Content,0.0
 Blue Spirit,8000000.0
 Bluegrass 7,120000000.0
 Blumhouse Productions,1950000.0
 Blur Studio,122000000.0
 Bold Films,8500000.0
 Bona Fide Productions,8000000.0
 BookWalker,0.0
 Brandywine Productions,18500000.0
 Breakheart Films,100000000.0
 Bregman/Baer Productions,30000000.0
 Brentwood Productions,2000000.0
 Brighter Summer Productions,0.0
 Brilliant Casting,3000000.0
 British Film Commission,0.0
 British Film Company,0.0
 Bron Studios,55000000.0
 Buffalo Films,1400000.0
 Bushiroad,0.0
 Business Location Sudtirol Alto Adige,13500000.0
 Buster Keaton Productions,750000.0
 Buttercup Films Ltd.,16000000.0
 C. C. Champion,0.0
 CAB Productions,0.0
 CBS,96000.0
 CBS Films,7000000.0
 CE,5000000.0
 CED Productions,0.0
 CGV Arthouse,0.0
 CJ ENM,12000000.0
 CJ ENM Studios,119.0
 CJ ENM Turkey,0.0
 CJ Entertainment,2838333.3333333335
 CJ Investment,6000000.0
 CNC,7300000.0
 Canafox Films,0.0
 Canal Brasil,476666.6666666667
 Canal+,9400000.0
 Canal+ Polska,1300000.0
 Cangrejo Films,0.0
 Canyon Creek Films,0.0
 Cappa/De Fina Productions,50000000.0
 Caracol Televisión,1400000.0
 Carmel Entertainment,500000.0
 Cartier Productions,9000000.0
 Cartoon Saloon,0.0
 Casbah Film,800000.0
 Castle Rock Entertainment,8350000.0
 Caviar,0.0
 Cecchi Gori Group Tiger Cinematografica,3000000.0
 Celluloid Dreams,7300000.0
 Central Motion Picture Corporation,0.0
 Centrum Technologii Audiowizualnych,5500000.0
 Century Communications,1000000.0
 Channel Four Films,2875000.0
 Channel Productions,1000000.0
 Chaocorp,6500000.0
 Chartoff-Winkler Productions,18000000.0
 Chengdu Coco Cartoon,22000000.0
 Chengdu Zizai Jingjie Culture Media,80000000.0
 Chernin Entertainment,61300000.0
 China Film Co-Production Corp.,4175000.0
 China Wit Media,0.0
 Chiodo Bros. Productions,6000000.0
 Christal Films,47000000.0
 Chukyo TV Broadcasting Company,0.0
 CiBy 2000,0.0
 Cine Argentino,0.0
 Cineclick Asia,1000000.0
 CinemaScópio,1430000.0
 Cinematograph,12500000.0
 Cinequanon,0.0
 Cinesoul,0.0
 Cinetic Media,23000000.0
 Ciné+,7666666.666666667
 Ciné-@,6000000.0
 Ciné-Tamaris,0.0
 Cinémage 14 Développment,9850000.0
 Circle of Confusion,28000000.0
 City Light Films,31000000.0
 Cité Films,0.0
 Ciudad Lunar,1400000.0
 Clearblack Films,0.0
 Clinica Estetico,26000000.0
 Cloudy Productions,40500000.0
 Coach Films,22000000.0
 Colorado Film,75000.0
 Colosé Producciones,4000000.0
 Columbia Pictures,67962500.0
 Como Films,0.0
 Conspiração Filmes,1480000.0
 Constantin Film,4600000.0
 Contents Panda,8500000.0
 Coop99 Filmproduktion,4750000.0
 Corona Filmproduktion,0.0
 Corona-General,12000000.0
 Cosmo Films,4000000.0
 Cosmopolitan TV,4000000.0
 Cosmos Filmed Entertainment,40000000.0
 Costa Films,4000000.0
 Count of Monte Cristo Ltd.,35000000.0
 Creative England,0.0
 Creative Unit of Writers & Cinema Workers,0.0
 Crooked Highway,70000000.0
 Cross City Films,0.0
 Cross Creek Pictures,26500000.0
 Crucial Films,28000000.0
 Cube Vision,28000000.0
 Curious Films,2500000.0
 Cutting Edge Group,15000000.0
 Cygames,0.0
 D.N. Dream Partners,0.0
 DC,111666666.66666667
 DC Entertainment,42833333.333333336
 DC Films,103333333.33333333
 DC Vertigo,54000000.0
 DDL Cinematografica,0.0
 DEFA,0.0
 DNA Films,4000000.0
 DNEG,0.0
 DR,11250000.0
 Dadi Film,11936735.0
 Dadi Film Group,0.0
 Daft Life,4000000.0
 Dago García Producciones,1400000.0
 Daiei Film,0.0
 DandeLion Animation Studio,0.0
 Darkwoods Productions,60000000.0
 David Brown Productions,5500000.0
 Davis Entertainment,32500000.0
 Dawn Apollo Films,250000000.0
 Dayday Films,7000000.0
 DeSanto/Murphy Productions,75000000.0
 Deep Films,30000000.0
 Defender Films,14000000.0
 Demilo Films,120000000.0
 Destination Films,566666.6666666666
 Detour Filmproduction,2600000.0
 Dexter Studios,18300000.0
 Di Novi Pictures,11800000.0
 Diamond Films,0.0
 DiamondBack,2000000.0
 Diaphana Films,3650000.0
 Digital Cube,4750000.0
 Directors,25500000.0
 Disney Channel,0.0
 Disney Channels Worldwide,15000000.0
 Disney World Cinema,10400000.0
 Distressed Films,4000000.0
 Dog Eat Dog Productions,1200000.0
 Don Simpson/Jerry Bruckheimer Films,170000000.0
 Double Dare You,35000000.0
 Double Feature Films,44000000.0
 Double Nickel Entertainment,33000000.0
 Downtown Filmes,2000000.0
 Dream Castle,0.0
 DreamWorks Animation,60000000.0
 DreamWorks Pictures,68875000.0
 Dune Entertainment,41500000.0
 Dylan Clark Productions,185000000.0
 Dynamo,0.0
 EFICINE 189,6400000.0
 EFVE,12500000.0
 EGG FIRM,0.0
 EMI Films,15000000.0
 EMJAG Productions,100000000.0
 ENBU Seminar,52406.0
 EOS Entertainment,16000000.0
 Easy Tiger,2791874.0
 Eddie Murphy Productions,0.0
 Edith Film,10000000.0
